person_id,name
https://openalex.org/A5067480046,Maria Sorokina
https://openalex.org/A5004705409,Marcy J. Balunas
https://openalex.org/A5025174604,Mehdi A. Beniddir
https://openalex.org/A5052134209,Doris A. van Bergeijk
https://openalex.org/A5089294584,Laura M. Carroll
https://openalex.org/A5044233702,Chase M. Clark
https://openalex.org/A5044662284,Djork-Arné Clevert
https://openalex.org/A5061884092,Chris A. Dejong
https://openalex.org/A5082019295,Chao Du
https://openalex.org/A5051244192,Scarlet Ferrinho
https://openalex.org/A5078946433,Francesca Grisoni
https://openalex.org/A5019402051,Albert Hofstetter
https://openalex.org/A5063810062,Willem Jespers
https://openalex.org/A5101632496,Olga V. Kalinina
https://openalex.org/A5003484549,Satria A. Kautsar
https://openalex.org/A5100330218,Hyun Woo Kim
https://openalex.org/A5009980520,Tiago Leão
https://openalex.org/A5053342326,Joleen Masschelein
https://openalex.org/A5003134739,Evan Rees
https://openalex.org/A5077768594,Raphael Reher
https://openalex.org/A5020392456,Daniel Reker
https://openalex.org/A5028051805,Philippe Schwaller
https://openalex.org/A5007543032,Marwin Segler
https://openalex.org/A5045701956,Michael A. Skinnider
https://openalex.org/A5044272398,Allison S. Walker
https://openalex.org/A5060194743,Egon Willighagen
https://openalex.org/A5053048742,Barbara Zdrazil
https://openalex.org/A5058692862,Nadine Ziemert
https://openalex.org/A5073970185,Rebecca J. M. Goss
https://openalex.org/A5075789055,Pierre Guyomard
https://openalex.org/A5057416678,Andrea Volkamer
https://openalex.org/A5078651116,William H. Gerwick
https://openalex.org/A5048072583,Hyun Uk Kim
https://openalex.org/A5077818118,Rolf Müller
https://openalex.org/A5091052284,Gilles P. van Wezel
https://openalex.org/A5088996741,Gerard J. P. van Westen
https://openalex.org/A5082528019,Anna K. H. Hirsch
https://openalex.org/A5015133560,Roger G. Linington
https://openalex.org/A5004798651,Serina L. Robinson
https://openalex.org/A5034845813,Marnix H. Medema
https://openalex.org/A5009459648,Sarah Bankins
https://openalex.org/A5063809924,Anna Carmella Ocampo
https://openalex.org/A5011035488,Mauricio Marrone
https://openalex.org/A5015663807,Simon Lloyd D. Restubog
https://openalex.org/A5065878227,Sang Eun Woo
https://openalex.org/A5062903281,Özlem Özmen Garibay
https://openalex.org/A5058724676,Brent Winslow
https://openalex.org/A5051078868,Salvatore Andolina
https://openalex.org/A5016653929,Margherita Antona
https://openalex.org/A5024970701,Anja Bodenschatz
https://openalex.org/A5001589359,Constantinos K. Coursaris
https://openalex.org/A5052907259,Gregory Falco
https://openalex.org/A5040965331,Stephen M. Fiore
https://openalex.org/A5001663885,Iván Garibay
https://openalex.org/A5007158173,Keri Grieman
https://openalex.org/A5006024485,John C. Havens
https://openalex.org/A5023741875,Marina Jirotka
https://openalex.org/A5009475920,Hernisa Kacorri
https://openalex.org/A5068942141,Waldemar Karwowski
https://openalex.org/A5009147264,Joseph T. Kider
https://openalex.org/A5037387341,Joseph A. Konstan
https://openalex.org/A5069557536,Sean Koon
https://openalex.org/A5062849275,Mónica López-González
https://openalex.org/A5029972430,Iliana Maifeld-Carucci
https://openalex.org/A5030293975,Sean McGregor
https://openalex.org/A5084317374,Gavriel Salvendy
https://openalex.org/A5052623072,Ben Shneiderman
https://openalex.org/A5009270487,Constantine Stephanidis
https://openalex.org/A5051897790,Christina Strobel
https://openalex.org/A5012821517,Carolyn Ten Holter
https://openalex.org/A5022993623,Babu George
https://openalex.org/A5017820645,Ontario S. Wooden
https://openalex.org/A5044141636,Terrence J. Sejnowski
https://openalex.org/A5044434345,Ioannis Antonopoulos
https://openalex.org/A5052097132,Valentin Robu
https://openalex.org/A5042662797,Benoit Couraud
https://openalex.org/A5032444320,Desen Kırlı
https://openalex.org/A5053701656,Sonam Norbu
https://openalex.org/A5067085371,Aristides Kiprakis
https://openalex.org/A5032160199,David Flynn
https://openalex.org/A5016756216,Sergio Elizondo-Gonzalez
https://openalex.org/A5069118782,Steve Wattam
https://openalex.org/A5091500375,Seyedali Mirjalili
https://openalex.org/A5071437793,Seyed Mohammad Mirjalili
https://openalex.org/A5063313173,Andrew Lewis
https://openalex.org/A5033634734,Tianjie Zhao
https://openalex.org/A5115694763,Sheng Wang
